numero,grupo_taxonomico,classe,ordem,familia,nome_cientifico,categoria_nacional,pagina_pdf,fonte
244,Peixes Continentais,Actinopterygii,Siluriformes,Trichomycteridae,Cambeva crassicaudata,EN,9,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
245,Peixes Continentais,Actinopterygii,Siluriformes,Trichomycteridae,Cambeva igobi,VU,9,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
246,Peixes Continentais,Actinopterygii,Siluriformes,Trichomycteridae,Cambeva mboycy,EN,9,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
247,Peixes Continentais,Actinopterygii,Siluriformes,Trichomycteridae,Cambeva papillifera,EN,9,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
248,Peixes Continentais,Actinopterygii,Siluriformes,Trichomycteridae,Cambeva pascuali,CR,9,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
249,Peixes Continentais,Actinopterygii,Siluriformes,Trichomycteridae,Cambeva tropeiro,EN,9,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
250,Peixes Continentais,Actinopterygii,Siluriformes,Trichomycteridae,Ituglanis bambui,CR,9,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
251,Peixes Continentais,Actinopterygii,Siluriformes,Trichomycteridae,Ituglanis epikarsticus,CR,9,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
252,Peixes Continentais,Actinopterygii,Siluriformes,Trichomycteridae,Ituglanis mambai,CR,9,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
253,Peixes Continentais,Actinopterygii,Siluriformes,Trichomycteridae,Ituglanis passensis,CR,9,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
254,Peixes Continentais,Actinopterygii,Siluriformes,Trichomycteridae,Ituglanis ramiroi,VU,9,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
255,Peixes Continentais,Actinopterygii,Siluriformes,Trichomycteridae,Listrura depinnai,EN,9,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
256,Peixes Continentais,Actinopterygii,Siluriformes,Trichomycteridae,Listrura nematopteryx,EN,9,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
257,Peixes Continentais,Actinopterygii,Siluriformes,Trichomycteridae,Trichogenes claviger,EN,9,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
258,Peixes Continentais,Actinopterygii,Siluriformes,Trichomycteridae,Trichomycterus dali,EN,9,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
259,Peixes Continentais,Actinopterygii,Siluriformes,Trichomycteridae,Trichomycterus itacarambiensis,VU,9,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
260,Peixes Continentais,Actinopterygii,Siluriformes,Trichomycteridae,Trichomycterus rubbioli,VU,9,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
261,Peixes Marinhos (ósseos),Actinopterygii,Elopiformes,Megalopidae,Megalops atlanticus,VU,9,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
262,Peixes Marinhos (ósseos),Actinopterygii,Gobiesociformes,Gobiesocidae,Acyrtus pauciradiatus,VU,9,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
263,Peixes Marinhos (ósseos),Actinopterygii,Ophidiiformes,Ophidiidae,Otophidium chickcharney,CR,9,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
264,Peixes Marinhos (ósseos),Actinopterygii,Perciformes,Blenniidae,Hypleurochilus brasil,VU,9,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
265,Peixes Marinhos (ósseos),Actinopterygii,Perciformes,Blenniidae,Scartella itajobi,VU,9,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
266,Peixes Marinhos (ósseos),Actinopterygii,Perciformes,Blenniidae,Scartella poiti,VU,9,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
267,Peixes Marinhos (ósseos),Actinopterygii,Perciformes,Chaetodontidae,Prognathodes obliquus,VU,9,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
268,Peixes Marinhos (ósseos),Actinopterygii,Perciformes,Epinephelidae,Epinephelus itajara,CR,10,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
269,Peixes Marinhos (ósseos),Actinopterygii,Perciformes,Epinephelidae,Epinephelus marginatus,VU,10,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
270,Peixes Marinhos (ósseos),Actinopterygii,Perciformes,Epinephelidae,Epinephelus morio,EN,10,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
271,Peixes Marinhos (ósseos),Actinopterygii,Perciformes,Gobiidae,Bathygobius brasiliensis,VU,10,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
272,Peixes Marinhos (ósseos),Actinopterygii,Perciformes,Gobiidae,Elacatinus fgi aro,EN,10,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
273,Peixes Marinhos (ósseos),Actinopterygii,Perciformes,Gobiidae,Elacatinus phthirophagus,VU,10,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
274,Peixes Marinhos (ósseos),Actinopterygii,Perciformes,Istiophoridae,Makaira nigricans,VU,10,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
275,Peixes Marinhos (ósseos),Actinopterygii,Perciformes,Labridae,Halichoeres rubrovirens,VU,10,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
276,Peixes Marinhos (ósseos),Actinopterygii,Perciformes,Labrisomidae,Malacoctenus brunoi,VU,10,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
277,Peixes Marinhos (ósseos),Actinopterygii,Perciformes,Labrisomidae,Starksia multilepis,VU,10,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
278,Peixes Marinhos (ósseos),Actinopterygii,Perciformes,Lutjanidae,Lutjanus cyanopterus,VU,10,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
279,Peixes Marinhos (ósseos),Actinopterygii,Perciformes,Lutjanidae,Lutjanus purpureus,EN,10,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
280,Peixes Marinhos (ósseos),Actinopterygii,Acanthuriformes,Latilidae,Lopholatilus villarii,VU,10,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
281,Peixes Marinhos (ósseos),Actinopterygii,Gobiiformes,Gobiidae,Cerdale fasciata,EN,10,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
282,Peixes Marinhos (ósseos),Actinopterygii,Perciformes,Pempheridae,Pempheris gasparinii,VU,10,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
283,Peixes Marinhos (ósseos),Actinopterygii,Acropomatiformes,Polyprionidae,Polyprion americanus,CR,10,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
284,Peixes Marinhos (ósseos),Actinopterygii,Perciformes,Pomacentridae,Microspathodon chrysurus,VU,10,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
285,Peixes Marinhos (ósseos),Actinopterygii,Perciformes,Pomacentridae,Stegastes rocasensis,VU,10,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
286,Peixes Marinhos (ósseos),Actinopterygii,Perciformes,Pomacentridae,Stegastes sanctipauli,VU,10,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
287,Peixes Marinhos (ósseos),Actinopterygii,Perciformes,Pomacentridae,Stegastes trindadensis,VU,10,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
288,Peixes Marinhos (ósseos),Actinopterygii,Perciformes,Scaridae,Scarus trispinosus,CR,10,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
289,Peixes Marinhos (ósseos),Actinopterygii,Perciformes,Scaridae,Scarus zelindae,EN,10,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
290,Peixes Marinhos (ósseos),Actinopterygii,Perciformes,Scaridae,Sparisoma amplum,VU,11,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
291,Peixes Marinhos (ósseos),Actinopterygii,Perciformes,Scaridae,Sparisoma axillare,VU,11,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
292,Peixes Marinhos (ósseos),Actinopterygii,Perciformes,Scaridae,Sparisoma frondosum,VU,11,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
293,Peixes Marinhos (ósseos),Actinopterygii,Perciformes,Scaridae,Sparisoma rocha,VU,11,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
294,Peixes Marinhos (ósseos),Actinopterygii,Acanthuriformes,Sciaenidae,Pogonias courbina,CR,11,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
295,Peixes Marinhos (ósseos),Actinopterygii,Perciformes,Scombridae,Thunnus thynnus,EN,11,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
296,Peixes Marinhos (ósseos),Actinopterygii,Perciformes,Anthiadidae,Choranthias salmopunctatus,VU,11,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
297,Peixes Marinhos (ósseos),Actinopterygii,Perciformes,Epinephelidae,Hyporthodus flavolimbatus,EN,11,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
298,Peixes Marinhos (ósseos),Actinopterygii,Perciformes,Epinephelidae,Hyporthodus nigritus,EN,11,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
299,Peixes Marinhos (ósseos),Actinopterygii,Perciformes,Epinephelidae,Hyporthodus niveatus,VU,11,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
300,Peixes Marinhos (ósseos),Actinopterygii,Perciformes,Epinephelidae,Mycteroperca acutirostris,EN,11,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
301,Peixes Marinhos (ósseos),Actinopterygii,Perciformes,Epinephelidae,Mycteroperca bonaci,EN,11,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
302,Peixes Marinhos (ósseos),Actinopterygii,Perciformes,Epinephelidae,Mycteroperca interstitialis,VU,11,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
303,Peixes Marinhos (ósseos),Actinopterygii,Perciformes,Anthiadidae,Odontanthias cauoh,VU,11,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
304,Peixes Marinhos (ósseos),Actinopterygii,Perciformes,Anthiadidae,Tosanoides aphrodite,VU,11,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
305,Peixes Marinhos (ósseos),Actinopterygii,Blenniiformes,Tripterygiidae,Enneanectes smithi,VU,11,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
306,Peixes Marinhos (ósseos),Actinopterygii,Pleuronectiformes,Achiridae,Achirus mucuri,EN,11,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
307,Peixes Marinhos (ósseos),Actinopterygii,Siluriformes,Ariidae,Genidens barbus,EN,11,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
308,Peixes Marinhos (ósseos),Actinopterygii,Siluriformes,Ariidae,Genidens planifrons,EN,11,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
309,Peixes Marinhos (ósseos),Actinopterygii,Siluriformes,Ariidae,Sciades parkeri,VU,11,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
310,Peixes Marinhos (ósseos),Actinopterygii,Syngnathiformes,Syngnathidae,Hippocampus erectus,VU,11,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
311,Peixes Marinhos (ósseos),Actinopterygii,Syngnathiformes,Syngnathidae,Hippocampus patagonicus,VU,11,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
312,Peixes Marinhos (ósseos),Actinopterygii,Syngnathiformes,Syngnathidae,Hippocampus reidi,VU,11,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
313,Peixes Marinhos (ósseos),Actinopterygii,Tetraodontiformes,Balistidae,Balistes capriscus,EN,12,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
314,Tubarões e Raias,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus acronotus,VU,12,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
315,Tubarões e Raias,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus brevipinna,VU,12,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
316,Tubarões e Raias,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus falciformis,CR,12,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
317,Tubarões e Raias,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus galapagensis,CR,12,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
318,Tubarões e Raias,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus leucas,VU,12,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
319,Tubarões e Raias,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus longimanus,CR,12,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
320,Tubarões e Raias,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus obscurus,EN,12,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
321,Tubarões e Raias,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus perezi,VU,12,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
322,Tubarões e Raias,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus plumbeus,CR,12,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
323,Tubarões e Raias,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus porosus,CR,12,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
324,Tubarões e Raias,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus signatus,EN,12,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
325,Tubarões e Raias,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Isogomphodon oxyrhynchus,CR,12,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
326,Tubarões e Raias,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Negaprion brevirostris,EN,12,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
327,Tubarões e Raias,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna gilberti,CR,12,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
328,Tubarões e Raias,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna lewini,CR,12,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
329,Tubarões e Raias,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna media,CR,12,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
330,Tubarões e Raias,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna mokarran,CR,12,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
331,Tubarões e Raias,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna tiburo,CR,12,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
332,Tubarões e Raias,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna tudes,CR,12,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
333,Tubarões e Raias,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna zygaena,CR,12,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
334,Tubarões e Raias,Elasmobranchii,Carcharhiniformes,Triakidae,Galeorhinus galeus,CR,12,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
335,Tubarões e Raias,Elasmobranchii,Carcharhiniformes,Triakidae,Mustelus canis,EN,12,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
336,Tubarões e Raias,Elasmobranchii,Carcharhiniformes,Triakidae,Mustelus fasciatus,CR,12,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
337,Tubarões e Raias,Elasmobranchii,Carcharhiniformes,Triakidae,Mustelus schmitti,CR,12,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
338,Tubarões e Raias,Elasmobranchii,Hexanchiformes,Hexanchidae,Notorynchus cepedianus,CR,12,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
339,Tubarões e Raias,Elasmobranchii,Lamniformes,Alopiidae,Alopias superciliosus,EN,12,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
340,Tubarões e Raias,Elasmobranchii,Lamniformes,Alopiidae,Alopias vulpinus,CR,12,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
341,Tubarões e Raias,Elasmobranchii,Lamniformes,Carchariidae,Carcharias taurus,CR,12,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
